time unit,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784180941,-0.21745,-0.00283,-0.97608,0.01005,-0.0178,0.02669
1784180941,0.03367,-0.00826,-0.98815,0.01904,0.01881,-0.02471
1784180941,-0.049,0.06955,-0.97739,-0.01208,-0.02729,-0.0593
1784180941,-0.17027,0.01933,-0.9942,-0.01019,0.02903,0.03503
1784180941,-0.00448,0.01616,-1.00388,0.01302,0.02187,-0.00282
1784180941,-0.01614,0.00148,-1.00313,-0.00411,-0.00211,0.01307
1784180941,-0.02297,0.01233,-1.00522,-0.00297,0.00297,0.0037
1784180941,-0.03064,0.025,-1.00703,0.00341,-0.00517,0.0518
1784180941,-0.0314,0.01254,-1.00498,0.00446,0.00064,-0.00097
1784180942,-0.02956,0.01323,-1.00331,0.0043,0.00353,0.00227
1784180942,-0.019,0.01526,-1.00346,0.00104,0.00552,0.00319
1784180942,-0.00542,0.01592,-1.00481,0.0032,0.00519,-0.0001
1784180942,-0.01204,0.01323,-1.00425,0.00826,0.00554,0.00052
1784180942,-0.01376,0.01353,-1.00563,0.00712,0.00446,0.0046
1784180942,0.00234,0.01407,-1.0038,0.00424,0.00178,0.00266
1784180942,0.00326,0.01283,-1.00319,0.00274,0.00533,0.00203
1784180942,-0.00377,0.01362,-1.00433,0.0036,0.00396,0.00299
1784180942,-0.01155,0.01181,-1.00508,0.00258,0.00471,0.00489
1784180942,-0.01549,0.01421,-1.00562,0.00526,0.00037,0.00481
1784180943,-0.01021,0.01365,-1.00481,0.00402,0.00241,0.00328
1784180943,-0.00504,0.01322,-1.00575,0.00427,0.00357,0.00277
1784180943,-0.00991,0.01398,-1.00491,0.00157,0.0035,0.0026
1784180943,-0.00986,0.01357,-1.00308,0.00211,0.00389,0.0035
1784180943,-0.00666,0.01297,-1.00523,0.00098,0.00408,0.00454
1784180943,-0.04739,-0.10286,-1.01611,0.0382,-0.01482,0.81275
1784180943,-0.01043,-0.03688,-1.0015,0.00567,0.00639,0.61804
1784180943,-0.01502,0.0062,-1.0104,-0.00112,-0.03159,0.74352
1784180943,-0.00664,-0.00293,-0.99458,0.01623,0.01771,0.75677
1784180943,-0.0309,0.02834,-1.00156,-0.00506,-0.00227,0.77889
1784180944,-0.00096,-0.00894,-1.00923,0.00165,-0.0038,0.78048
1784180944,0.0098,0.00548,-1.00853,0.00283,0.00388,0.77396
1784180944,0.00091,0.02597,-1.02888,0.02631,-0.01659,0.76541
1784180944,0.0287,0.0343,-1.01529,-0.03462,0.00842,0.75
1784180944,-0.01889,0.01439,-1.00891,-0.00397,0.00661,0.81995
1784180944,-0.00593,0.00423,-0.99092,0.01734,0.02204,0.79921
1784180944,0.01707,-0.00292,-1.00311,0.00367,-0.00259,0.79311
1784180944,-0.03275,-0.0364,-0.97436,0.06863,0.03593,0.81103
1784180944,-0.01895,0.007,-0.9894,-0.01585,-0.03006,0.7909
1784180945,0.01204,-0.0116,-0.99687,0.02686,-0.00434,0.82942
1784180945,-0.0108,-0.01295,-1.00275,0.01154,-0.00146,0.7469
1784180945,-0.01894,0.0229,-1.03747,0.02273,-0.01401,0.79417
1784180945,0.0198,0.0182,-1.01833,-0.04391,0.00664,0.79393
